pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2,antibody_chain,antigen_chain
8tuz-assembly1,A,C,protein,protein,A,C
8tuz-assembly1,B,C,protein,protein,B,C
8up2-assembly1,A,C,protein,protein,A,C
8up2-assembly1,B,C,protein,protein,B,C
8pyr-assembly1,A,D,protein,protein,D,A
8pyr-assembly1,C,D,protein,protein,D,C
8pih-assembly1,A,B,protein,protein,B,A
8ux6-assembly1,A,F,protein,protein,A,F
8ux6-assembly1,D,F,protein,protein,D,F
8w90-assembly1,A,B,protein,protein,A,B
8hxq-assembly1,A,B,protein,protein,A,B
8ido-assembly1,A,D,protein,protein,D,A
8tmz-assembly1,A,C,protein,protein,A,C
8tmz-assembly1,B,C,protein,protein,B,C
8qf4-assembly1,A,B,protein,protein,A,B
9g2g-assembly1,A,C,protein,protein,C,A
9jbq-assembly1,A,C,protein,protein,A,C
8pmz-assembly1,A,B,protein,protein,B,A
8evd-assembly1,A,C,protein,protein,A,C
9fww-assembly1,A,B,protein,protein,B,A
8vzo-assembly1,A,B,protein,protein,B,A
8vzo-assembly1,A,C,protein,protein,C,A
8the-assembly1,A,B,protein,protein,B,A
8sgn-assembly1,B,C,protein,protein,B,C
8sgn-assembly1,A,C,protein,protein,A,C
8jyr-assembly1,A,B,protein,protein,B,A
8jyr-assembly1,A,C,protein,protein,C,A
8jeo-assembly1,A,B,protein,protein,B,A
8jeo-assembly1,A,C,protein,protein,C,A
8yxi-assembly1,A,C,protein,protein,A,C
8yxi-assembly1,B,C,protein,protein,B,C
8vvl-assembly1,A,B,protein,protein,B,A
8vvl-assembly1,A,C,protein,protein,C,A
8vui-assembly1,B,C,protein,protein,B,C
9en2-assembly1,A,C,protein,protein,C,A
9au1-assembly1,C,E,protein,protein,C,E
8weo-assembly1,A,B,protein,protein,B,A
8q7o-assembly1,A,C,protein,protein,A,C
8vyl-assembly1,A,F,protein,protein,F,A
8vyl-assembly1,C,F,protein,protein,F,C
8sfz-assembly1,A,D,protein,protein,A,D
8q6r-assembly1,A,D,protein,protein,A,D
8udz-assembly1,A,C,protein,protein,C,A
8udz-assembly1,A,D,protein,protein,D,A
8oud-assembly1,A,D,protein,protein,D,A
8zp2-assembly1,A,B,protein,protein,B,A
8s0l-assembly1,A,B,protein,protein,B,A
8rp8-assembly1,A,C,protein,protein,A,C
8rp8-assembly1,B,C,protein,protein,B,C
8z8v-assembly1,A,B,protein,protein,B,A
8r4u-assembly1,A,B,protein,protein,B,A
8urf-assembly1,A,C,protein,protein,A,C
8urf-assembly1,B,C,protein,protein,B,C
8oni-assembly1,A,F,protein,protein,A,F
8oni-assembly1,B,F,protein,protein,B,F
8oni-assembly1,B,E,protein,protein,B,E
8oni-assembly1,A,E,protein,protein,A,E
8ts0-assembly1,A,C,protein,protein,A,C
8ts0-assembly1,B,C,protein,protein,B,C
8acf-assembly1,A,B,protein,protein,B,A
8acf-assembly1,A,D,protein,protein,D,A
8t59-assembly1,A,E,protein,protein,A,E
8t59-assembly1,B,E,protein,protein,B,E
8v52-assembly1,A,E,protein,protein,E,A
8v52-assembly1,A,F,protein,protein,F,A
8uky-assembly1,A,C,protein,protein,A,C
8uky-assembly1,B,C,protein,protein,B,C
8pn0-assembly1,A,E,protein,protein,A,E
8pn0-assembly1,B,E,protein,protein,B,E
8tft-assembly1,A,C,protein,protein,A,C
8tft-assembly1,B,C,protein,protein,B,C
8qz3-assembly1,A,C,protein,protein,C,A
8q3j-assembly1,A,B,protein,protein,B,A
8q3j-assembly1,A,C,protein,protein,C,A
