pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8c41-assembly1,A,C,protein,dna
8c41-assembly1,A,D,protein,dna
8c41-assembly1,A,E,protein,dna
8c41-assembly1,A,F,protein,dna
8g8j-assembly1,A,B,protein,dna
8g8h-assembly1,A,C,protein,dna
8g8h-assembly1,A,B,protein,dna
8ujx-assembly1,A,B,protein,dna
8v7b-assembly1,A,C,protein,dna
8r0s-assembly1,A,C,protein,dna
8pw0-assembly1,A,B,protein,dna
8rm6-assembly1,A,C,protein,dna
8rm6-assembly1,A,D,protein,dna
8rm7-assembly1,A,C,protein,dna
8rm7-assembly1,A,D,protein,dna
8u0p-assembly1,A,C,protein,dna
8u0p-assembly1,A,D,protein,dna
8q9n-assembly1,A,C,protein,dna
8q9n-assembly1,A,D,protein,dna
8tlg-assembly1,A,B,protein,dna
8tlh-assembly1,A,B,protein,dna
8tlf-assembly1,A,C,protein,dna
8ufk-assembly1,A,F,dna,protein
8ufk-assembly1,B,F,dna,protein
7ftn-assembly1,A,B,protein,dna
7ftn-assembly1,A,C,protein,dna
9bvd-assembly1,A,B,protein,dna
9bvd-assembly1,A,C,protein,dna
8ijp-assembly1,A,C,protein,dna
8ijp-assembly1,A,D,protein,dna
8wq5-assembly1,A,E,protein,dna
8tac-assembly1,A,C-2,protein,dna
8tac-assembly1,A,D-2,protein,dna
8fay-assembly1,A,B,protein,dna
8fay-assembly1,A,C,protein,dna
9dp2-assembly1,A,C,protein,dna
9dp2-assembly1,A,D,protein,dna
8pmc-assembly1,A,I,dna,protein
8pmc-assembly1,B,I,dna,protein
8pm5-assembly1,A,B,protein,dna
8pm5-assembly1,A,C,protein,dna
8pmv-assembly1,A,B,protein,dna
8pmv-assembly1,A,C,protein,dna
8pmf-assembly1,A,C,dna,protein
8pmf-assembly1,B,C,dna,protein
8pm7-assembly1,A,I,dna,protein
8pm7-assembly1,B,I,dna,protein
8z2n-assembly1,A,B,protein,dna
8z2n-assembly1,A,C,protein,dna
8qmb-assembly1,A,C,protein,dna
8qmb-assembly1,A,D,protein,dna
8qmb-assembly1,A,F,protein,dna
8qmb-assembly1,B,E,protein,dna
9f0e-assembly1,A,C,protein,dna
9cih-assembly1,A,B,protein,dna
9ci9-assembly1,A,C,protein,dna
9ci9-assembly1,A,B,protein,dna
9bdw-assembly1,A-2,C,protein,dna
9bdw-assembly1,A-2,D,protein,dna
9bdu-assembly1,A,C,protein,dna
9bdu-assembly1,A,D,protein,dna
9bdv-assembly1,A,C,protein,dna
9bdv-assembly1,A,D,protein,dna
8ik5-assembly1,A,C,dna,protein
8ik5-assembly1,B,C,dna,protein
8vzm-assembly1,A,C,protein,dna
8vdn-assembly1,A,D,protein,dna
8vdh-assembly1,A,C,dna,protein
8vdh-assembly1,B,C,dna,protein
8vdn-assembly1,A,B,protein,dna
8vdn-assembly1,A,C,protein,dna
8jkk-assembly1,A,B,protein,dna
8jkk-assembly1,A,C,protein,dna
8vzm-assembly1,A,B,protein,dna
8yrs-assembly1,A,C,protein,dna
8oja-assembly1,A,C,protein,dna
8oja-assembly1,A,D,protein,dna
8oj6-assembly1,A,C,protein,dna
8oj6-assembly1,A,D,protein,dna
8oj6-assembly1,B,C,protein,dna
8oj6-assembly1,B,D,protein,dna
8oja-assembly1,B,C,protein,dna
8oja-assembly1,B,D,protein,dna
8oj7-assembly1,A,C,protein,dna
8oj7-assembly1,A,D,protein,dna
8oj7-assembly1,B,C,protein,dna
8oj7-assembly1,B,D,protein,dna
8yey-assembly1,A,B,protein,dna
8ilg-assembly1,A,B,protein,dna
8ild-assembly1,A,C,protein,dna
8ilh-assembly1,A,E,protein,dna
8ilf-assembly1,A,C,protein,dna
8yxw-assembly1,A,B,protein,dna
8yxw-assembly1,C,D,protein,dna
8v7g-assembly1,A,B,protein,dna
8v7g-assembly1,A,C,protein,dna
8v7b-assembly1,A,B,protein,dna
8rzv-assembly1,A,B,protein,dna
9bs2-assembly1,A,B,protein,dna
9enq-assembly1,A,B,protein,dna
9enp-assembly1,A,D,protein,dna
9enp-assembly1,B,C,protein,dna
9enp-assembly1,B,D,protein,dna
8ipp-assembly1,A,B,dna,protein
8iyq-assembly1,A,B,protein,dna
8iyq-assembly1,A,D,protein,dna
8hcl-assembly1,A,E,dna,protein
8hcl-assembly1,B,E,dna,protein
9c3s-assembly1,A,E,protein,dna
9c3s-assembly1,A,F,protein,dna
9c3t-assembly1,A,E,protein,dna
9c3t-assembly1,A,F,protein,dna
8sln-assembly1,A,B,protein,dna
8p5q-assembly1,A,B,protein,dna
8p5q-assembly1,A,C,protein,dna
8rkt-assembly1,B,D,dna,protein
8rkt-assembly1,C,F,dna,protein
8vf9-assembly1,A,B,protein,dna
8vf9-assembly1,A,C,protein,dna
8vfg-assembly1,A,D,protein,dna
8vfj-assembly1,A,B,protein,dna
8vfj-assembly1,A,C,protein,dna
8vf8-assembly1,A,C,protein,dna
8vff-assembly1,A,B,protein,dna
8vfg-assembly1,A,C,protein,dna
8vfg-assembly1,A,B,protein,dna
8vfe-assembly1,A,B,protein,dna
8vfd-assembly1,A,B,protein,dna
8vfc-assembly1,A,C,protein,dna
8kfr-assembly1,A,E,protein,dna
8wt6-assembly1,B,J,protein,dna
8wt6-assembly1,A,G,protein,dna
8wt6-assembly1,A,H,protein,dna
8wt6-assembly1,B,I,protein,dna
8rpx-assembly1,A,F,protein,dna
8rpx-assembly1,A,G,protein,dna
8uvk-assembly1,A,C,protein,dna
8uvk-assembly1,A,D,protein,dna
8urk-assembly1,A,B,protein,dna
8urk-assembly1,A,C,protein,dna
8u8l-assembly1,A,B,protein,dna
8u8l-assembly1,A,C,protein,dna
8j71-assembly1,A,C,protein,dna
8yfi-assembly1,A,B,protein,dna
8yfj-assembly1,A,B,protein,dna
8vmv-assembly1,A,E,dna,protein
8vmv-assembly1,B,F,dna,protein
8q5o-assembly1,A,C,protein,dna
8q5o-assembly1,A,D,protein,dna
9bs2-assembly1,A,C,protein,dna
8ok9-assembly1,A,C,protein,dna
8ok9-assembly1,B,C,protein,dna
8xa9-assembly1,A,E,protein,dna
8xas-assembly1,A,I,protein,dna
8xas-assembly1,A,J,protein,dna
8pna-assembly1,A,B,dna,protein
8pna-assembly1,B,C,protein,dna
8pnc-assembly1,A,B,dna,protein
8pnc-assembly1,B,C,protein,dna
8uzt-assembly1,A,C,protein,dna
8u6x-assembly1,A,B,protein,dna
8u6x-assembly1,A,C,protein,dna
8k86-assembly1,A,C,protein,dna
8k86-assembly1,A,D,protein,dna
8k8c-assembly1,A,C,protein,dna
8k8c-assembly1,A,D,protein,dna
8k8a-assembly1,A,C,protein,dna
8k8d-assembly1,A,C,protein,dna
9ezz-assembly1,A,C,protein,dna
8pi8-assembly1,A,C,dna,protein
8pi8-assembly1,B,C,dna,protein
8u0p-assembly1,A,B,protein,dna
8u0o-assembly1,A,B-2,protein,dna
8u0o-assembly1,A,C-2,protein,dna
8yzs-assembly1,A,E,protein,dna
8x5v-assembly1,A,C,protein,dna
8x5v-assembly1,A,D,protein,dna
8c58-assembly1,A,B,protein,dna
8c59-assembly1,A,C,protein,dna
8c56-assembly1,A,B,protein,dna
8c59-assembly1,A,B,protein,dna
