pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8v3r-assembly1,A,B,protein,peptide
8v3q-assembly1,A,B,protein,peptide
8v3o-assembly1,A,B,protein,peptide
8i84-assembly1,B,C,protein,peptide
8i82-assembly1,B,C,protein,peptide
8i89-assembly1,B,C,protein,peptide
8jgf-assembly1,E,F,peptide,protein
8jgg-assembly1,B,F,peptide,protein
8zlz-assembly1,B,C,protein,peptide
8j5u-assembly1,A,B,protein,peptide
8qlv-assembly1,A,B,peptide,protein
8qlm-assembly1,A,C,protein,peptide
8qlg-assembly1,A,B,protein,peptide
8qlk-assembly1,A,B,protein,peptide
8fsq-assembly1,A,B,protein,peptide
8fsr-assembly1,A,B,protein,peptide
8qm0-assembly1,A,E,protein,peptide
8brh-assembly1,A,B,protein,peptide
8xgu-assembly1,A,F,protein,peptide
8xgo-assembly1,A,F,protein,peptide
8qci-assembly1,A,B,protein,peptide
8jzd-assembly1,A,B,protein,peptide
8rte-assembly1,A,C,protein,peptide
8fg6-assembly1,A,B,peptide,protein
8jt1-assembly1,A,C,protein,peptide
8s6o-assembly1,A,B,protein,peptide
8s6n-assembly1,A,B,protein,peptide
8on7-assembly1,A,D,protein,peptide
8on9-assembly1,A,B,protein,peptide
8y52-assembly1,D,E,protein,peptide
