pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8wmt-assembly1,A,A-2,protein,protein
9c68-assembly1,A,B,protein,protein
8i82-assembly1,A,B,protein,protein
8whi-assembly1,A,C,protein,protein
8whi-assembly1,B,C,protein,protein
8rue-assembly1,A,B,protein,protein
8rlk-assembly1,A,B,protein,protein
8pb3-assembly1,A,B,protein,protein
8tcs-assembly1,A,C,protein,protein
8x6v-assembly1,A,B,protein,protein
8zmm-assembly1,A,B,protein,protein
8zmw-assembly1,A,B,protein,protein
8zmw-assembly1,A,C,protein,protein
8zmw-assembly1,B,C,protein,protein
8upc-assembly1,A,A-2,protein,protein
8upb-assembly1,A,A-2,protein,protein
8r5w-assembly1,A,B,protein,protein
8qab-assembly1,A,B,protein,protein
8q9n-assembly1,A,E,protein,protein
8tlf-assembly1,A,A-2,protein,protein
8yk2-assembly1,A,B,protein,protein
8r7a-assembly1,A,B,protein,protein
8r7i-assembly1,A,A-2,protein,protein
8kce-assembly1,A,A-2,protein,protein
8iq5-assembly1,A,B,protein,protein
8kbm-assembly1,A,A-2,protein,protein
8ifx-assembly1,A,B,protein,protein
8ifx-assembly1,B,B-2,protein,protein
8sbq-assembly1,A,B,protein,protein
9f2c-assembly1,A,B,protein,protein
8x3g-assembly1,A,D,protein,protein
8x3g-assembly1,C,D,protein,protein
8ows-assembly1,A,B,protein,protein
8zlz-assembly1,A,B,protein,protein
8pu1-assembly1,A,B,protein,protein
9fvt-assembly1,A,B,protein,protein
8r9t-assembly1,A,B,protein,protein
8g4k-assembly1,A,B,protein,protein
9cys-assembly1,A,B,protein,protein
9bk6-assembly1,A,B,protein,protein
9bka-assembly1,A,A-2,protein,protein
8ipj-assembly1,A,B,protein,protein
9asx-assembly1,A,C,protein,protein
8fmg-assembly1,A,B,protein,protein
8z2m-assembly1,A,A-2,protein,protein
9jst-assembly1,A,B,protein,protein
8q1w-assembly1,A,B,protein,protein
8rxa-assembly1,A,B,protein,protein
9c90-assembly1,A,A-2,protein,protein
8iqa-assembly1,A,B,protein,protein
9j23-assembly1,A,B,protein,protein
9j23-assembly1,A,C,protein,protein
9j23-assembly1,B,C,protein,protein
9j26-assembly1,A,B,protein,protein
9j26-assembly1,A,C,protein,protein
9j26-assembly1,B,C,protein,protein
8j2w-assembly1,A,B,protein,protein
9jf5-assembly1,A,B,protein,protein
8pqr-assembly1,A,B,protein,protein
8kc1-assembly1,A,A-2,protein,protein
8kck-assembly1,A,A-2,protein,protein
8jdh-assembly1,A,B,protein,protein
8jd7-assembly1,A,B,protein,protein
8jzt-assembly1,A,B,protein,protein
8jzt-assembly1,B,B-2,protein,protein
8gjg-assembly1,A,B,protein,protein
8gji-assembly1,A,B,protein,protein
8wnh-assembly1,A,B,protein,protein
8sm6-assembly1,A,B,protein,protein
8kbh-assembly1,A,B,protein,protein
8jyv-assembly1,A,A-2,protein,protein
8gad-assembly1,A,B,protein,protein
8vij-assembly1,A,C,protein,protein
8ye5-assembly1,A,B,protein,protein
8vva-assembly1,A,B,protein,protein
8j49-assembly1,A,B,protein,protein
8clo-assembly1,A,A-2,protein,protein
8q29-assembly1,A,B,protein,protein
8oi4-assembly1,A,B,protein,protein
8ipg-assembly1,A,D,protein,protein
9biy-assembly1,A,B,protein,protein
8j49-assembly1,B,C,protein,protein
9j1r-assembly1,A,B,protein,protein
8wk1-assembly1,A,B,protein,protein
8q6q-assembly1,A,B,protein,protein
8ioo-assembly1,A,B,protein,protein
8qjk-assembly1,A,A-3,protein,protein
8z4f-assembly1,A-2,B,protein,protein
8rkh-assembly1,A,B,protein,protein
8k7y-assembly1,A,B,protein,protein
9bt4-assembly1,A,D,protein,protein
9bt4-assembly1,A,F,protein,protein
9bt4-assembly1,A,H,protein,protein
9bt4-assembly1,D,F,protein,protein
9bt4-assembly1,D,H,protein,protein
9bt4-assembly1,F,H,protein,protein
8u48-assembly1,A,B,protein,protein
8wt4-assembly1,A,B,protein,protein
8s0u-assembly1,A,B,protein,protein
8rpx-assembly1,A,B,protein,protein
8tw0-assembly1,A,B,protein,protein
8tw0-assembly1,A,C,protein,protein
8tw0-assembly1,B,C,protein,protein
8qvc-assembly1,A,B,protein,protein
8qvc-assembly1,A,A-2,protein,protein
8and-assembly1,A,B,protein,protein
8tnd-assembly1,A,B,protein,protein
8j48-assembly1,A,B,protein,protein
8jca-assembly1,A,B,protein,protein
8wwy-assembly1,A,B,protein,protein
8t48-assembly1,A,D,protein,protein
8acx-assembly1,A,D,protein,protein
9eqo-assembly1,A,B,protein,protein
8rja-assembly1,A,L,protein,protein
8rja-assembly1,B,K,protein,protein
8rja-assembly1,B,L,protein,protein
8rja-assembly1,J,K,protein,protein
8rja-assembly1,J,L,protein,protein
8rja-assembly1,K,L,protein,protein
8jqf-assembly1,A,B,protein,protein
8ju7-assembly1,A,B,protein,protein
8k8f-assembly1,A,A-3,protein,protein
9gsq-assembly1,A,B,protein,protein
8s1j-assembly1,A,B,protein,protein
8ixw-assembly1,A,B,protein,protein
8ih8-assembly1,A,B,protein,protein
8iha-assembly1,A,B,protein,protein
8utk-assembly1,A,B,protein,protein
8yla-assembly1,A,B,protein,protein
9c5s-assembly1,A,B,protein,protein
9ard-assembly1,A,B,protein,protein
