pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8iyq-assembly1,A,C,protein,rna
9c69-assembly1,A,C,protein,rna
9c68-assembly1,A,C,protein,rna
9f37-assembly1,A,E,protein,rna
9f37-assembly1,B,E,protein,rna
8r0s-assembly1,A,B,protein,rna
8pnp-assembly1,A,D,protein,rna
8pnp-assembly1,B,D,protein,rna
8pnp-assembly1,C,D,protein,rna
8xc1-assembly1,A,B,protein,rna
8xc1-assembly1,A,C,protein,rna
8thq-assembly1,A,B,protein,rna
8z85-assembly1,A,D,protein,rna
8z85-assembly1,A,E,protein,rna
8z85-assembly1,B,D,protein,rna
8z85-assembly1,B,E,protein,rna
8z9q-assembly1,A,D,protein,rna
8z9q-assembly1,B,D,protein,rna
9aur-assembly1,A,C,protein,rna
9aur-assembly1,B,C,protein,rna
8psz-assembly1,B,F,protein,rna
8psz-assembly1,C,F,protein,rna
9avr-assembly1,A,B,protein,rna
8qjk-assembly1,A,B,protein,rna
8rkt-assembly1,A,E,rna,protein
8rkt-assembly1,A,F,rna,protein
8wt6-assembly1,A,E,protein,rna
8g91-assembly1,A,B,protein,rna
8p7b-assembly1,A,D,protein,rna
8p7b-assembly1,C,E,protein,rna
8wzc-assembly1,A,B,protein,rna
8t66-assembly1,A,C,protein,rna
8t65-assembly1,A,C,protein,rna
9dn4-assembly1,C,F,protein,rna
9dn4-assembly1,D,F,protein,rna
9c7a-assembly1,A,B,protein,rna
8vm9-assembly1,A,E,rna,protein
8vm9-assembly1,A,F,rna,protein
8vm8-assembly1,A,B,rna,protein
8vm8-assembly1,A,C,rna,protein
8x5v-assembly1,A,B,protein,rna
