pdb_id,chain_id
8ycm-assembly1,A
7z65-assembly1,A
8q8i-assembly1,A
8cba-assembly1,A
8cih-assembly1,A
8cpk-assembly1,A
8dqd-assembly1,A
8ez6-assembly1,A
8f9o-assembly1,A
8jjq-assembly1,A
8fty-assembly1,A
8fz8-assembly1,A
8fz9-assembly1,A
8g0n-assembly1,A
8g1l-assembly1,A
8g32-assembly1,A
8gac-assembly1,A
8gdl-assembly1,A
8gkd-assembly1,A
8hw8-assembly1,A
8ii8-assembly1,A
8ikx-assembly1,A
8irq-assembly1,A
8iym-assembly1,A
8j2n-assembly1,A
8j2x-assembly1,A
8jb3-assembly1,A
8j8y-assembly1,A
8jh8-assembly1,A
8jmy-assembly1,A
8jup-assembly1,A
8jv2-assembly1,A
8k2g-assembly1,A
8k2k-assembly1,A
8k2m-assembly1,A
8k4m-assembly1,A
8k7o-assembly1,A
8k7x-assembly1,A
8k7z-assembly1,A
8k83-assembly1,A
8k84-assembly1,A
8kcj-assembly1,A
8ka7-assembly1,A
8kac-assembly1,A
8kg4-assembly1,A
8xrh-assembly1,A
8khv-assembly1,A
8os2-assembly1,A
8osz-assembly1,A
8ou1-assembly1,A
8ovq-assembly1,A
8p0e-assembly1,A
8pak-assembly1,A
8paq-assembly1,A
8pb5-assembly1,A
8por-assembly1,A
8ptd-assembly1,A
8pu2-assembly1,A
8pvs-assembly1,A
8pw2-assembly1,A
8pxu-assembly1,A
8q1v-assembly1,A
8qb1-assembly1,A
8qd8-assembly1,A
8qjp-assembly1,A
8qkd-assembly1,A
8qlc-assembly1,A
8qoh-assembly1,A
8qpj-assembly1,A
8qq1-assembly1,A
8qle-assembly1,A
8qup-assembly1,A
8qx6-assembly1,A
8r2c-assembly1,A
8r5n-assembly1,A
8ra0-assembly1,A
8rcw-assembly1,A
8rdd-assembly1,A
8re3-assembly1,A
8rom-assembly1,A
8qnf-assembly1,A
8s5b-assembly1,A
8s9l-assembly1,A
8suc-assembly1,A
8sv7-assembly1,A
8sx0-assembly1,A
8t2j-assembly1,A
8t41-assembly1,A
8te9-assembly1,A
8tfo-assembly1,A
8ti5-assembly1,A
8tjg-assembly1,A
8tru-assembly1,A
8tse-assembly1,A
8tuk-assembly1,A
8tw1-assembly1,A
8tyh-assembly1,A
8u0i-assembly1,A
8u2f-assembly1,A
8ubs-assembly1,A
8uds-assembly1,A
8tls-assembly1,A
8ux2-assembly1,A
8uxt-assembly1,A
8v3m-assembly1,A
8v6t-assembly1,A
8vc8-assembly1,A
8vcw-assembly1,A
8vh7-assembly1,A
8vpo-assembly1,A
8vqk-assembly1,A
8w6v-assembly1,A
8w7p-assembly1,A
8wac-assembly1,A
8wae-assembly1,A
8wc1-assembly1,A
8wcf-assembly1,A
8whj-assembly1,A
8whn-assembly1,A
8wik-assembly1,A
8wj5-assembly1,A
8kbl-assembly1,A
8wnj-assembly1,A
8wrx-assembly1,A
8wt3-assembly1,A
8wim-assembly1,A
8x7c-assembly1,A
8xf9-assembly1,A
8xif-assembly1,A
8xjg-assembly1,A
8xpk-assembly1,A
8y9p-assembly1,A
8ye0-assembly1,A
8wqn-assembly1,A
8yxk-assembly1,A
8z4q-assembly1,A
8hel-assembly1,A
8zqf-assembly1,A
9aue-assembly1,A
9azz-assembly1,A
9b1u-assembly1,A
9b8e-assembly1,A
9bks-assembly1,A
9bjx-assembly1,A
9cfj-assembly1,A
9crn-assembly1,A
9d91-assembly1,A
9etn-assembly1,A
9evq-assembly1,A
9fce-assembly1,A
9fgp-assembly1,A
9f9u-assembly1,A
9fow-assembly1,A
9fym-assembly1,A
9gso-assembly1,A
9ijc-assembly1,A
9iuh-assembly1,A
9j0v-assembly1,A
9jq9-assembly1,A
