entry_id,release_date,status,detail
5SBJ,2023-02-15,ok,
5SNG,2023-12-20,ok,
7EKA,2023-11-08,ok,
7FTI,2024-02-21,ok,
7FTN,2024-02-21,ok,
7FTP,2024-02-21,ok,
7FU2,2024-02-21,ok,
7FU4,2024-02-21,ok,
7FUB,2024-02-21,ok,
7FUG,2024-02-21,ok,
7FUL,2024-02-21,ok,
7FUM,2024-02-21,ok,
7FUO,2024-02-21,ok,
7FUQ,2024-02-21,ok,
7FVU,2023-06-14,ok,
7FVW,2023-06-14,ok,
7FVY,2023-06-14,ok,
7FW1,2023-06-14,ok,
7FW3,2023-06-14,ok,
7FWB,2023-06-14,ok,
7FWE,2023-06-14,ok,
7FWF,2023-06-14,ok,
7FWL,2023-06-14,ok,
7FWM,2023-06-14,ok,
7FWO,2023-06-14,ok,
7FWP,2023-06-14,ok,
7FWR,2023-06-14,ok,
7FWU,2023-06-14,ok,
7FWY,2023-06-14,ok,
7FWZ,2023-06-14,ok,
7FX6,2023-06-14,ok,
7FXB,2023-06-14,ok,
7FXF,2023-06-14,ok,
7FXH,2023-06-14,ok,
7FXK,2023-06-14,ok,
7FXN,2023-06-14,ok,
7FXQ,2023-06-14,ok,
7FXR,2023-06-14,ok,
7FXW,2023-06-14,ok,
7FY5,2023-06-14,ok,
7FYC,2023-06-14,ok,
7FYF,2023-06-14,ok,
7FYG,2023-06-14,ok,
7FYK,2023-06-14,ok,
7FYO,2023-06-14,ok,
7FYR,2023-06-14,ok,
7FYV,2023-06-14,ok,
7FZ0,2023-06-14,ok,
7FZ1,2023-06-14,ok,
7FZ3,2023-06-14,ok,
7FZ8,2023-06-14,ok,
7FZI,2023-06-14,ok,
7FZJ,2023-06-14,ok,
7FZL,2023-06-14,ok,
7FZN,2023-06-14,ok,
7FZO,2023-06-14,ok,
7G00,2023-06-14,ok,
7G02,2023-06-14,ok,
7G0H,2023-06-14,ok,
7G0I,2023-06-14,ok,
7G0J,2023-06-14,ok,
7G0K,2023-06-14,ok,
7G0V,2023-06-14,ok,
7G10,2023-06-14,ok,
7G13,2023-06-14,ok,
7G14,2023-06-14,ok,
7G1G,2023-06-14,ok,
7G1O,2023-06-14,ok,
7G1S,2023-06-14,ok,
7G1U,2023-06-14,ok,
7G1V,2023-06-14,ok,
7GH3,2023-11-08,ok,
